DAQSTANDARD,,R9.03.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Viewer,,R9.03.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contoso Manufacturing Company,,John Doe,,999-99999-****,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device Type,,DX2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serial No.,,S5K401359,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File Message,, Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Correction,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starting Condition,,Auto,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dividing Condition,,Auto,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meas Ch.,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Math Ch.,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ext Ch.,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Count,,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling Interval,,1200.000,sec,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Time,,2015/11/23,15:00:00,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop Time,,2015/11/30,14:40:00,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,
Trigger Time,,2015/11/30,14:40:00,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,
Trigger No.,,503,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damage Check,,Not Damaged,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Started by,,[ Key In ],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stopped by,,[ Running ],,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Num. Of Converted Data,,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Num. Of Converted Ch.,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Converted Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ch.,CH001,,CH003,,CH004,,CH005,,CH006,,CH007,,CH008,,CH009,,CH010,,CH011,,CH012,,CH013,,CH014,,CH015,
,,Tag,FEED pH,,FEED COND,,PERM 1 COND,,PERM 2 COND,,PERM 1 FLOW,,PERM 2 FLOW,,CONC 1 FLOW,,CONC 2 FLOW,,FEED PRESSURE,,PERM 1 PRESSURE,,PERM 2 PRESSURE,,TRAIN A dP,,TRAIN B dP,,FEED TEMP,
,,Tag No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Unit,pH,, �S/cm,,�S/cm,,�S/cm,, GPM,,GPM,,GPM,,GPM,,psi,,psi,,psi,,psi,,psi,,deg C,
Date,Time,sec,MIN,MAX,MIN,MAX,MIN,MAX,MIN,MAX,MIN,MAX,MIN,MAX,MIN,MAX,MIN,MAX,MIN,MAX,MIN,MAX,MIN,MAX,MIN,MAX,MIN,MAX,MIN,MAX
2015/11/23,15:00:00,0.000,11.24,11.33,199,266,2.9,3.3,3.2,3.5,2.028,2.041,1.943,1.953,1.004,1.009,0.973,0.981,122.82,124.01,15.64,15.96,3.53,3.61,22.13,23.12,42.17,43.61,21.48,22.39
2015/11/23,15:20:00,0.000,11.23,11.32,193,259,2.9,3.3,3.1,3.5,2.029,2.041,1.943,1.953,1.005,1.009,0.973,0.982,122.93,124.06,15.63,15.93,3.54,3.60,22.24,23.20,42.34,43.73,21.49,22.22
2015/11/23,15:40:00,0.000,11.24,11.34,191,261,2.9,3.3,3.1,3.5,2.029,2.042,1.943,1.954,1.005,1.009,0.973,0.982,122.91,123.99,15.68,15.97,3.53,3.61,22.23,23.15,42.32,43.68,21.58,22.25
2015/11/23,16:00:00,0.000,11.24,11.31,188,267,2.9,3.3,3.2,3.5,2.030,2.042,1.943,1.952,1.005,1.009,0.972,0.981,122.93,124.19,15.64,15.96,3.53,3.60,22.27,23.33,42.42,43.96,21.58,22.19
2015/11/23,16:20:00,0.000,11.25,11.33,193,257,3.0,3.3,3.1,3.5,2.030,2.043,1.943,1.953,1.005,1.009,0.972,0.980,123.00,124.04,15.68,15.97,3.53,3.60,22.39,23.26,42.58,43.84,21.65,22.20
2015/11/23,16:40:00,0.000,11.26,11.33,195,262,2.5,3.9,2.4,4.6,-0.005,2.042,-0.004,2.001,0.999,1.021,0.947,1.004,122.96,127.05,15.70,20.77,3.29,3.78,0.40,23.30,0.65,45.21,21.61,22.23
